FullDate,Day,Month,Year,DateID
2009-10-24 01:40:40,24,10,2009,1
2009-10-24 01:40:43,24,10,2009,2
2009-10-24 01:41:17,24,10,2009,3
2009-10-24 08:34:52,24,10,2009,4
2009-10-24 11:51:22,24,10,2009,5
2009-10-24 11:51:58,24,10,2009,6
2009-10-24 11:52:33,24,10,2009,7
2009-10-24 11:53:09,24,10,2009,8
2009-10-24 11:53:44,24,10,2009,9
2009-10-25 08:45:24,25,10,2009,10
2009-10-25 08:45:30,25,10,2009,11
2009-10-25 08:45:50,25,10,2009,12
2009-10-25 08:45:53,25,10,2009,13
2009-10-25 08:45:54,25,10,2009,14
2009-10-25 08:45:57,25,10,2009,15
2009-10-25 08:45:59,25,10,2009,16
2009-10-25 08:46:19,25,10,2009,17
2009-10-25 20:22:46,25,10,2009,18
2009-10-25 20:22:48,25,10,2009,19
2009-10-25 20:22:49,25,10,2009,20
2009-10-25 20:22:50,25,10,2009,21
2009-10-25 20:22:51,25,10,2009,22
2009-10-25 20:22:52,25,10,2009,23
2009-10-25 20:22:53,25,10,2009,24
2009-10-25 20:22:55,25,10,2009,25
2009-10-25 20:22:56,25,10,2009,26
2009-10-25 20:22:57,25,10,2009,27
2009-10-25 20:22:58,25,10,2009,28
2009-10-25 20:22:59,25,10,2009,29
2009-10-25 20:23:00,25,10,2009,30
2009-10-25 20:23:02,25,10,2009,31
2009-10-25 20:23:03,25,10,2009,32
2009-10-25 20:23:04,25,10,2009,33
2009-10-25 20:23:05,25,10,2009,34
2009-10-25 20:23:06,25,10,2009,35
2009-10-25 20:23:07,25,10,2009,36
2009-11-02 07:44:40,2,11,2009,37
2009-11-02 07:44:42,2,11,2009,38
2009-11-02 07:44:43,2,11,2009,39
2009-11-02 07:45:00,2,11,2009,40
2009-11-02 07:45:01,2,11,2009,41
2009-11-02 07:45:02,2,11,2009,42
2009-11-02 07:45:21,2,11,2009,43
2009-11-02 07:45:28,2,11,2009,44
2009-11-02 07:45:36,2,11,2009,45
2009-11-02 07:45:38,2,11,2009,46
2009-11-02 07:45:40,2,11,2009,47
2009-11-02 07:45:43,2,11,2009,48
2009-11-02 07:46:16,2,11,2009,49
2009-11-02 07:46:43,2,11,2009,50
2009-11-02 07:48:25,2,11,2009,51
2009-11-02 07:48:48,2,11,2009,52
2009-11-02 07:58:52,2,11,2009,53
2009-11-02 07:59:07,2,11,2009,54
2009-11-02 07:59:08,2,11,2009,55
2009-11-02 07:59:18,2,11,2009,56
2009-11-02 08:09:45,2,11,2009,57
2009-11-02 08:09:55,2,11,2009,58
2009-11-02 08:09:57,2,11,2009,59
2009-11-02 08:33:06,2,11,2009,60
2009-11-02 08:33:07,2,11,2009,61
2009-11-02 08:33:23,2,11,2009,62
2009-11-02 08:33:25,2,11,2009,63
2009-11-02 08:33:29,2,11,2009,64
2009-11-02 08:33:34,2,11,2009,65
2009-11-02 08:34:11,2,11,2009,66
2009-11-02 08:34:21,2,11,2009,67
2009-11-02 08:34:24,2,11,2009,68
2009-11-02 08:34:59,2,11,2009,69
2009-11-02 08:35:00,2,11,2009,70
2009-11-02 08:35:07,2,11,2009,71
2009-11-02 08:35:08,2,11,2009,72
2009-11-02 08:35:11,2,11,2009,73
2009-11-02 08:37:05,2,11,2009,74
2009-11-02 08:37:23,2,11,2009,75
2009-11-02 09:01:08,2,11,2009,76
2009-11-02 09:01:09,2,11,2009,77
2009-11-02 09:01:11,2,11,2009,78
2009-11-02 09:01:16,2,11,2009,79
2009-11-02 09:01:18,2,11,2009,80
2009-11-02 09:01:19,2,11,2009,81
2009-11-02 09:01:20,2,11,2009,82
2009-11-02 09:01:31,2,11,2009,83
2009-11-02 09:01:32,2,11,2009,84
2009-11-02 09:01:33,2,11,2009,85
2009-11-02 09:56:25,2,11,2009,86
2009-11-02 09:56:27,2,11,2009,87
2009-11-02 09:56:42,2,11,2009,88
2009-11-02 09:56:43,2,11,2009,89
